direction,method,step_label,mean_finest_error,mean_ratio_vs_tempest,max_ratio_vs_tempest,mean_order,min_order,mean_r2
CS_to_ICOD_4level,irno,base,0.00042714718885944003,0.5615872514084315,0.8350822821655296,1.4912240729063353,1.3187559016656052,0.8790357644754769
CS_to_ICOD_4level,irno,corrected_lmax16,0.0004769882928939,0.5877836902490908,0.7402161435851672,1.4460103926869747,1.3516886998192106,0.8858464552596341
CS_to_ICOD_4level,irno,corrected_lmax24,0.00051699939348936,0.62504642299792,0.7421043104493321,1.4114965455696518,1.331115537743527,0.892073248411724
CS_to_ICOD_4level,irno,corrected_lmax8,0.0004454187274094,0.5660926360044394,0.7760110308289688,1.473107132428745,1.3421131063076157,0.8817035894855232
CS_to_ICOD_4level,tempest,tempest,0.0008656262684098401,1.0,1.0,1.014005850202341,1.0122182210388455,0.9999773900481763
CS_to_RLL_3level,irno,base,0.0005605306779350599,0.5371582186911583,0.5958071585879157,1.4036983507449283,1.2699201614975868,0.7217041767970134
CS_to_RLL_3level,irno,corrected_lmax16,0.0007227742864632,0.6652039985820157,0.7322514449741349,1.2423218825980527,1.211129974498064,0.6366802233532728
CS_to_RLL_3level,irno,corrected_lmax24,0.0008084506901328399,0.738184668540723,0.8073679614235638,1.1825266251131736,1.1525538923847936,0.6089686200720286
CS_to_RLL_3level,irno,corrected_lmax8,0.0006332207252126,0.5924741027801984,0.658681135562059,1.3217344028817304,1.2562990510818413,0.6796021576412852
CS_to_RLL_3level,tempest,tempest,0.00109610234282764,1.0,1.0,1.019192505882377,1.0085651141537837,0.9999707880241864
ICOD_to_CS_4level,irno,base,0.00055212765455884,3.2270472892484925,5.993694831706648,0.5792771047276764,0.3905747441972887,0.5723325598423569
ICOD_to_CS_4level,irno,corrected_lmax16,0.00050516579875954,2.853361328706719,5.059872386935755,0.6254159021986258,0.4438840849169301,0.6311445044661602
ICOD_to_CS_4level,irno,corrected_lmax24,0.0004988591082771201,2.7479070374305423,4.6906583301691285,0.6545018402308994,0.4845496009395385,0.6644473115792675
ICOD_to_CS_4level,irno,corrected_lmax8,0.0005246257151752,3.026145093096537,5.523651195074587,0.595906480914402,0.4080815049995006,0.5980975158161412
ICOD_to_CS_4level,tempest,tempest,0.0002327113887415153,1.0,1.0,1.0828208854508026,1.0315812856589237,0.9989136766180458
RLL_to_CS_3level,irno,base,0.0005766785481462801,2.1904739610348893,3.9186931394560687,0.47303157468774304,0.0240610172874644,0.4219683268557482
RLL_to_CS_3level,irno,corrected_lmax16,0.0005137057017326,1.932891836937721,3.403550377891135,0.5565422423667522,0.1109371512187747,0.4800479551621522
RLL_to_CS_3level,irno,corrected_lmax24,0.0004985965829160199,1.8585795298370997,3.2238404920159023,0.5980517338090628,0.1659715586741849,0.5027073596532663
RLL_to_CS_3level,irno,corrected_lmax8,0.00054293387342232,2.056861393792798,3.6610011789105603,0.5080746613970801,0.0558260147012857,0.4500675295055806
RLL_to_CS_3level,tempest,tempest,0.0003408675168532,1.0,1.0,1.0169119510898676,0.9888002826614708,0.999910283724188
