step_label,display,mean_order,min_order,max_order,mean_r2
tempest,Tempest,1.014005850202341,1.0122182210388455,1.015669978093436,0.9999773900481763
base,v16 base,1.4814836202513624,1.3235807818630367,1.6519748454801808,0.9535254379253344
corrected_lmax8,v18 lmax8,1.5036187837443435,1.4117319660119974,1.637430597750141,0.9530332777567407
corrected_lmax16,v18 lmax16,1.4722798699630617,1.3750262637300346,1.5914578135078297,0.952956275636604
corrected_lmax24,v18 lmax24,1.4124296158776821,1.3199880269923112,1.5383547371116706,0.9573972431191136
