method,step_label,function,n_levels,fit_order,fit_r2,error_coarsest,error_finest
irno,base,smooth1,3,0.42732584850293426,0.3404198230513602,0.0004896214885785,0.0002707601046554
irno,base,smooth2,3,0.5876090727733171,0.5904782687031198,0.0005598255958449,0.0002479001775118
irno,base,x,3,1.0049232376745303,0.8769273060609898,0.0017081877747293,0.0004241422477419
irno,base,y,3,1.0280862399912176,0.9217422638554281,0.0016896299285386,0.0004062767791979
irno,base,z,3,1.0249368060277482,0.9884489101649736,0.0018765460659565,0.0004531957051755
irno,corrected_lmax16,smooth1,3,0.5405163394715211,0.5915098406201217,0.0004821543104818,0.0002279096903518
irno,corrected_lmax16,smooth2,3,0.6626521253478846,0.7460764047328615,0.0005554444617636,0.0002216584581731
irno,corrected_lmax16,x,3,1.0697460892509778,0.9426034844756992,0.0016850967898122,0.0003824490002904
irno,corrected_lmax16,y,3,1.0602547847831463,0.9530967824889951,0.0016834870597299,0.0003871442344949
irno,corrected_lmax16,z,3,1.0639392685690132,0.9961462599414767,0.0019143180358457,0.0004379845836219
irno,corrected_lmax24,smooth1,3,0.5593814408236718,0.6704912985175456,0.0004843639476319,0.0002230440409312
irno,corrected_lmax24,smooth2,3,0.6531396576779469,0.8067103306585538,0.0005606994009136,0.0002267257438567
irno,corrected_lmax24,x,3,1.083255603952273,0.9652033945411016,0.0016919408772464,0.0003768775982371
irno,corrected_lmax24,y,3,1.0378783547689714,0.9593647128951914,0.0016910120073048,0.0004011267807627
irno,corrected_lmax24,z,3,1.0639957516650413,0.9967965342655914,0.0019456165083278,0.0004451106335125
irno,corrected_lmax8,smooth1,3,0.4756834336716597,0.4606241055699445,0.0004842077077288,0.0002504042723251
irno,corrected_lmax8,smooth2,3,0.6229306042153029,0.6613384067116526,0.0005549742473059,0.0002340082865708
irno,corrected_lmax8,x,3,1.0314222570052007,0.9079186907193452,0.0016910403969301,0.0004047397950085
irno,corrected_lmax8,y,3,1.0470731333491272,0.9395096518894253,0.0016828301430451,0.000394129952481
irno,corrected_lmax8,z,3,1.0420145251749917,0.9933691421910338,0.0018896343732833,0.0004456793626255
tempest,tempest,smooth1,3,1.0478489669158724,0.9996659821218256,0.0005323142161822,0.0001245374946943
tempest,tempest,smooth2,3,0.9888002826614707,0.9999179740639361,0.0006217600354598,0.0001578722192809
tempest,tempest,x,3,1.00817594629555,0.9999951810785368,0.0018555148865448,0.0004586506797544
tempest,tempest,y,3,1.00817594629555,0.9999951810785368,0.0018555148865448,0.0004586506797544
tempest,tempest,z,3,1.0315586132808952,0.9999771002781049,0.002108774942306,0.000504626510782
