pair,method,stage,function,source_integral,remapped_integral,target_truth_integral,signed_integral_error,relative_integral_error,truth_vs_source_relative,row_sum_linf,row_sum_l1_mean,src_area_linf_abs,src_area_l1_rel,src_area_global_rel
CS-r128_to_ICOD-r128,tempest,tempest,smooth1,12.566370614358835,12.566370614358835,12.566370632416575,0.0,0.0,1.436989306315783e-09,4.440892098500626e-16,5.173478563743207e-17,8.131516293641283e-20,7.023681782531697e-17,0.0
CS-r128_to_ICOD-r128,tempest,tempest,smooth2,13.231172030156745,13.231172030156745,13.231172085338375,0.0,0.0,4.170577618245056e-09,4.440892098500626e-16,5.173478563743207e-17,8.131516293641283e-20,7.023681782531697e-17,0.0
CS-r128_to_ICOD-r128,irno,corrected_lmax24,smooth1,12.566370614358835,12.566370601093414,12.566370632416575,-1.326542076185433e-08,1.0556286432215148e-09,1.436989306315783e-09,0.0003200313076376915,0.00012941789659170872,5.429277445917306e-11,6.634133997463557e-08,1.2021934091148775e-09
CS-r128_to_ICOD-r128,irno,corrected_lmax24,smooth2,13.231172030156745,13.231172015390978,13.231172085338375,-1.4765767275548569e-08,1.1159833189300347e-09,4.170577618245056e-09,0.0003200313076376915,0.00012941789659170872,5.429277445917306e-11,6.634133997463557e-08,1.2021934091148775e-09
ICOD-r128_to_CS-r128,tempest,tempest,smooth1,12.566370632416572,12.566370632416573,12.566370614358835,1.7763568394002505e-15,1.4135798563969688e-16,1.436989021534874e-09,5.551115123125783e-16,7.495563956842755e-17,2.710505431213761e-20,4.210855009643749e-17,0.0
ICOD-r128_to_CS-r128,tempest,tempest,smooth2,13.231172085338375,13.231172085338375,13.231172030156747,0.0,0.0,4.170577466595897e-09,5.551115123125783e-16,7.495563956842755e-17,2.710505431213761e-20,4.210855009643749e-17,0.0
ICOD-r128_to_CS-r128,irno,corrected_lmax24,smooth1,12.566370632416572,12.566370637090294,12.566370614358835,4.673722742154496e-09,3.7192303799300857e-10,1.436989021534874e-09,0.00036047492176294327,0.0001512680554742,2.5780115564012773e-11,5.951458010319421e-08,3.7395180834027454e-10
ICOD-r128_to_CS-r128,irno,corrected_lmax24,smooth2,13.231172085338375,13.231172090629578,13.231172030156747,5.291202143098417e-09,3.999042646389327e-10,4.170577466595897e-09,0.00036047492176294327,0.0001512680554742,2.5780115564012773e-11,5.951458010319421e-08,3.7395180834027454e-10
