step,lmax,method,step_label,function,n_levels,fitted_order,r2,h_min,h_max,err_finest,err_coarsest
-1,-1,tempest,tempest,smooth1,3,1.0478489669158724,0.9996659821218256,0.0113062696024711,0.0452250784098917,0.0001245374946943,0.0005323142161822
-1,-1,tempest,tempest,smooth2,3,0.9888002826614707,0.9999179740639361,0.0113062696024711,0.0452250784098917,0.0001578722192809,0.0006217600354598
-1,-1,tempest,tempest,x,3,1.00817594629555,0.9999951810785368,0.0113062696024711,0.0452250784098917,0.0004586506797544,0.0018555148865448
-1,-1,tempest,tempest,y,3,1.00817594629555,0.9999951810785368,0.0113062696024711,0.0452250784098917,0.0004586506797544,0.0018555148865448
-1,-1,tempest,tempest,z,3,1.0315586132808952,0.9999771002781049,0.0113062696024711,0.0452250784098917,0.000504626510782,0.002108774942306
0,0,irno,base,smooth1,3,0.024061017287464483,0.0015364764290367594,0.0113062696024711,0.0452250784098917,0.0004880242260636,0.0005045771242633
0,0,irno,base,smooth2,3,0.1398648210272924,0.04670264103641564,0.0113062696024711,0.0452250784098917,0.0004665684510814,0.0005663988746472
0,0,irno,base,x,3,0.7262869568329053,0.5581874928483239,0.0113062696024711,0.0452250784098917,0.0006381609008907,0.0017466203307784
0,0,irno,base,y,3,0.7053152436079357,0.6450936485406582,0.0113062696024711,0.0452250784098917,0.000651017497102,0.0017307516348392
0,0,irno,base,z,3,0.7696298346831174,0.8583213754243064,0.0113062696024711,0.0452250784098917,0.0006396216655937,0.0018590304251948
1,8,irno,corrected_lmax8,smooth1,3,0.055826014701285794,0.010008384586371988,0.0113062696024711,0.0452250784098917,0.0004559319148944,0.0004926183706883
1,8,irno,corrected_lmax8,smooth2,3,0.1779022293781099,0.08306887578010291,0.0113062696024711,0.0452250784098917,0.000437874318836,0.0005603473074256
1,8,irno,corrected_lmax8,x,3,0.7540817239008214,0.5816105845608919,0.0113062696024711,0.0452250784098917,0.000601954292617,0.001712245178534
1,8,irno,corrected_lmax8,y,3,0.7370723419505215,0.6849392818432332,0.0113062696024711,0.0452250784098917,0.0006131181975399,0.0017033581551278
1,8,irno,corrected_lmax8,z,3,0.8154909970546622,0.8907105207573031,0.0113062696024711,0.0452250784098917,0.0006057906432243,0.0018762774703133
2,16,irno,corrected_lmax16,smooth1,3,0.1109371512187747,0.04141703843404421,0.0113062696024711,0.0452250784098917,0.0004238696371284,0.000494337012204
2,16,irno,corrected_lmax16,smooth2,3,0.23562856938446514,0.14173060086859357,0.0113062696024711,0.0452250784098917,0.0004093578713419,0.0005674997572339
2,16,irno,corrected_lmax16,x,3,0.7970966690784556,0.5990732639735008,0.0113062696024711,0.0452250784098917,0.0005697621547174,0.0017202581038573
2,16,irno,corrected_lmax16,y,3,0.7764535672582821,0.7119450267657562,0.0113062696024711,0.0452250784098917,0.0005838353757598,0.0017130184249642
2,16,irno,corrected_lmax16,z,3,0.862595254893784,0.9060738457688662,0.0113062696024711,0.0452250784098917,0.0005817034697155,0.0019232500214119
3,24,irno,corrected_lmax24,smooth1,3,0.1659715586741849,0.08576588814197372,0.0113062696024711,0.0452250784098917,0.0004014890181697,0.0005053572560608
3,24,irno,corrected_lmax24,smooth2,3,0.288734279514188,0.19401104330628194,0.0113062696024711,0.0452250784098917,0.0003907798130886,0.0005831328112647
3,24,irno,corrected_lmax24,x,3,0.8380010041231104,0.6079873614601636,0.0113062696024711,0.0452250784098917,0.0005526266289919,0.0017658698247115
3,24,irno,corrected_lmax24,y,3,0.8059863521616111,0.7199589564933211,0.0113062696024711,0.0452250784098917,0.0005726077469806,0.0017502873565746
3,24,irno,corrected_lmax24,z,3,0.8915654745722198,0.9058135488645912,0.0113062696024711,0.0452250784098917,0.0005754797073493,0.0019806416891317
