band,np1,np2,esmf_bil,esmf_cons,esmf_cons2,ours_D2,ours_D3,ours_D4,ours_D5
l1-8,6.993633e-03,3.021366e-04,3.931958e-03,6.993633e-03,3.289336e-03,9.666142e-04,9.997211e-04,9.895284e-04,9.740823e-04
l9-16,2.749736e-02,2.057486e-03,2.255867e-02,2.749736e-02,9.433255e-03,4.440178e-03,3.428654e-03,3.329688e-03,3.419001e-03
l17-24,6.383032e-02,8.338441e-03,5.729169e-02,6.383032e-02,1.968032e-02,1.518599e-02,1.066225e-02,9.971504e-03,1.045739e-02
l25-32,1.147791e-01,2.538441e-02,1.067774e-01,1.147791e-01,4.236318e-02,3.532016e-02,2.652367e-02,2.327238e-02,2.457873e-02
l33-40,1.787137e-01,5.910766e-02,1.687687e-01,1.787137e-01,8.602273e-02,6.634075e-02,5.512968e-02,4.596613e-02,4.854619e-02
l41-48,2.526574e-01,1.132508e-01,2.409555e-01,2.526574e-01,1.532177e-01,1.164039e-01,1.058504e-01,9.066933e-02,9.526693e-02
