band,np1,np2,esmf_bil,esmf_cons,esmf_cons2,ours_ALL
l1-8,8.228463e-03,2.793187e-04,3.540475e-03,8.228463e-03,3.105444e-03,6.489886e-04
l9-16,2.914758e-02,2.036851e-03,2.056271e-02,2.914758e-02,9.643460e-03,2.234537e-03
l17-24,6.307612e-02,8.312752e-03,5.246321e-02,6.307612e-02,2.151730e-02,6.416140e-03
l25-32,1.098457e-01,2.468495e-02,9.804189e-02,1.098457e-01,4.529402e-02,1.453079e-02
l33-40,1.681381e-01,5.658973e-02,1.557854e-01,1.681381e-01,8.657652e-02,3.309969e-02
l41-48,2.357579e-01,1.075775e-01,2.238880e-01,2.357579e-01,1.473971e-01,7.580184e-02
